ticket,category,urgency
"My payment was deducted twice","Billing","High"
"I was charged extra for my order","Billing","Medium"
"My refund has not arrived yet","Billing","Medium"
"I cannot login to my account","Account","High"
"I forgot my password","Account","Medium"
"My account is locked","Account","High"
"I cannot reset my password","Account","Medium"
"The application keeps crashing","Technical","High"
"The website is not loading","Technical","High"
"The app is very slow","Technical","Medium"
"I am getting an error when opening the application","Technical","High"
"The server is not responding","Technical","High"
"The product I received is damaged","Product","High"
"The product quality is poor","Product","Medium"
"I received the wrong product","Product","High"
"The product stopped working","Product","High"
"I want to know more about this product","Product","Low"
"Please help me update my account details","Account","Low"
"I need to change my email address","Account","Low"
"I cannot access my profile","Account","High"
"My credit card payment failed","Billing","High"
"My payment is still pending","Billing","Medium"
"I need an invoice for my purchase","Billing","Low"
"I was billed incorrectly","Billing","High"
"The mobile application crashes frequently","Technical","High"
"The website shows an error message","Technical","High"
"The system is responding very slowly","Technical","Medium"
"I cannot connect to the server","Technical","High"
"The product arrived late","Product","Medium"
"The item I ordered is missing","Product","High"
"I want to return the product","Product","Medium"
"I received a different product than I ordered","Product","High"
"I forgot my account password","Account","Medium"
"My login is not working","Account","High"
"My account has been blocked","Account","High"
"I want to change my password","Account","Low"
"I was charged for an order I cancelled","Billing","High"
"My refund is missing","Billing","High"
"I need help with my payment","Billing","Medium"
"Why was I charged an additional fee","Billing","Medium"
"The application is not opening","Technical","High"
"The website stopped working","Technical","High"
"I am facing a technical error","Technical","High"
"The application takes too long to load","Technical","Medium"
"The product is defective","Product","High"
"The product does not match the description","Product","Medium"
"I received a damaged item","Product","High"
"I need information about the product","Product","Low"
"My payment was processed twice","Billing","High"
"I was charged more than expected","Billing","Medium"
"My refund is taking too long","Billing","Medium"
"My card payment was declined","Billing","High"
"I need help understanding my bill","Billing","Low"
"I was charged after cancelling my order","Billing","High"
"The refund amount is incorrect","Billing","Medium"
"The refund amount is incorrect","Billing","Medium"
"There is an unknown charge on my account","Billing","High"
"My payment is stuck in pending status","Billing","Medium"
"I need a copy of my payment receipt","Billing","Low"
"Why did my payment fail","Billing","High"
"I was charged twice for the same product","Billing","High"
"My refund has still not been credited","Billing","High"
"I need help changing my payment method","Billing","Low"
"I cannot sign into my account","Account","High"
"My password is not working","Account","Medium"
"My account has been locked","Account","High"
"I cannot change my account password","Account","Medium"
"I need to update my phone number","Account","Low"
"I cannot access my user profile","Account","High"
"I forgot my login password","Account","Medium"
"My account was blocked","Account","High"
"I want to update my personal details","Account","Low"
"I cannot reset my account password","Account","Medium"
"My login credentials are not working","Account","High"
"I need to change my email address","Account","Low"
"I cannot open my account","Account","High"
"The mobile app keeps crashing","Technical","High"
"The website is completely down","Technical","High"
"The application takes a long time to open","Technical","Medium"
"I keep getting a technical error","Technical","High"
"I cannot connect to the application server","Technical","High"
"The website is extremely slow","Technical","Medium"
"My application stopped responding","Technical","High"
"The system is not loading correctly","Technical","High"
"I am unable to connect to the server","Technical","High"
"The app freezes when I open it","Technical","High"
"The website keeps showing an error","Technical","High"
"The application performance is very slow","Technical","Medium"
"My software is not working properly","Technical","High"
"The server connection keeps failing","Technical","High"
"The product I received was broken","Product","High"
"I received the wrong item","Product","High"
"The product quality is not good","Product","Medium"
"I want to return an item","Product","Medium"
"My product arrived damaged","Product","High"
"The product does not work properly","Product","High"
"I need details about this product","Product","Low"
"The item does not match what I ordered","Product","Medium"
"My order arrived late","Product","Medium"
"I want more information about the product","Product","Low"
